=== DP-GCN: nm=4.0, corrected Flax init ===
Using device: cuda
Reading node features from datasets/ogbn_arxiv/raw/node-feat.csv.gz...
Node features loaded: (169343, 128)
Reading node labels...
Node labels loaded: (169343,)
Reading edges...
Edges loaded: 1166243
Reading splits...
Splits: train=90941, val=29799, test=48603
Computing disjoint edge filter...
Disjoint filter: 1166243 -> 464361 edges
Num training nodes: 90941
Num total nodes: 169343
Num edges: 532308
Feature dim: 128
Building subgraphs...
Pre-computing subgraph weights...
Subgraphs built.
Model parameters: 27040
Estimating clipping thresholds from 10000 samples...
Clipping thresholds: {'encoder.layers.0.weight': 3.697627902030945, 'encoder.layers.0.bias': 1.440140426158905, 'core_hops.0.update_fn.layers.0.weight': 2.2614967226982117, 'core_hops.0.update_fn.layers.0.bias': 1.0176893174648285, 'decoder.layers.0.weight': 3.253721594810486, 'decoder.layers.0.bias': 0.9945138245820999}
Base sensitivity: 12.0
num_steps:   0, train_loss_after_init: 3.7201, train_accuracy_after_init: 3.6826, val_loss_after_init: 3.8358, val_accuracy_after_init: 2.6008, test_loss_after_init: 3.8876, test_accuracy_after_init: 2.4340, epsilon_after_init: 0.0000
num_steps: 1450, train_loss: 1.5664, train_accuracy: 56.1287, val_loss: 1.5805, val_accuracy: 56.1462, test_loss: 1.5914, test_accuracy: 55.1818, epsilon: 9.0600
num_steps: 1500, train_loss: 1.5625, train_accuracy: 56.2266, val_loss: 1.5813, val_accuracy: 56.3207, test_loss: 1.5920, test_accuracy: 55.2929, epsilon: 9.2404
num_steps: 1550, train_loss: 1.5620, train_accuracy: 56.2200, val_loss: 1.5804, val_accuracy: 56.3442, test_loss: 1.5877, test_accuracy: 55.3176, epsilon: 9.4177
num_steps: 1600, train_loss: 1.5571, train_accuracy: 56.3574, val_loss: 1.5747, val_accuracy: 56.4281, test_loss: 1.5813, test_accuracy: 55.3093, epsilon: 9.5934
num_steps: 1650, train_loss: 1.5561, train_accuracy: 56.3112, val_loss: 1.5741, val_accuracy: 56.2905, test_loss: 1.5846, test_accuracy: 55.1756, epsilon: 9.7675
num_steps: 1700, train_loss: 1.5553, train_accuracy: 56.3541, val_loss: 1.5747, val_accuracy: 56.4079, test_loss: 1.5804, test_accuracy: 55.4019, epsilon: 9.9386
num_steps: 1750, train_loss: 1.5542, train_accuracy: 56.4619, val_loss: 1.5731, val_accuracy: 56.4650, test_loss: 1.5756, test_accuracy: 55.4678, epsilon: 10.1097
num_steps: 1800, train_loss: 1.5519, train_accuracy: 56.5345, val_loss: 1.5720, val_accuracy: 56.4448, test_loss: 1.5718, test_accuracy: 55.7476, epsilon: 10.2773
num_steps: 1850, train_loss: 1.5506, train_accuracy: 56.5817, val_loss: 1.5785, val_accuracy: 56.2636, test_loss: 1.5830, test_accuracy: 55.3875, epsilon: 10.4437
num_steps: 1900, train_loss: 1.5497, train_accuracy: 56.6565, val_loss: 1.5731, val_accuracy: 56.4079, test_loss: 1.5742, test_accuracy: 55.4513, epsilon: 10.6102
num_steps: 1950, train_loss: 1.5491, train_accuracy: 56.7753, val_loss: 1.5767, val_accuracy: 56.4146, test_loss: 1.5811, test_accuracy: 55.3402, epsilon: 10.7726
num_steps: 2000, train_loss: 1.5498, train_accuracy: 56.8753, val_loss: 1.5802, val_accuracy: 56.5019, test_loss: 1.5831, test_accuracy: 55.4287, epsilon: 10.9344
num_steps: 2050, train_loss: 1.5477, train_accuracy: 56.9402, val_loss: 1.5794, val_accuracy: 56.3844, test_loss: 1.5856, test_accuracy: 55.4040, epsilon: 11.0962
num_steps: 2100, train_loss: 1.5426, train_accuracy: 56.9732, val_loss: 1.5776, val_accuracy: 56.4918, test_loss: 1.5865, test_accuracy: 55.4266, epsilon: 11.2553
num_steps: 2150, train_loss: 1.5424, train_accuracy: 56.9798, val_loss: 1.5737, val_accuracy: 56.6361, test_loss: 1.5777, test_accuracy: 55.6406, epsilon: 11.4124
num_steps: 2200, train_loss: 1.5417, train_accuracy: 57.0876, val_loss: 1.5721, val_accuracy: 56.5120, test_loss: 1.5782, test_accuracy: 55.5748, epsilon: 11.5696
num_steps: 2250, train_loss: 1.5387, train_accuracy: 57.1370, val_loss: 1.5690, val_accuracy: 56.5388, test_loss: 1.5766, test_accuracy: 55.5089, epsilon: 11.7268
num_steps: 2300, train_loss: 1.5374, train_accuracy: 57.1876, val_loss: 1.5649, val_accuracy: 56.5757, test_loss: 1.5688, test_accuracy: 55.7990, epsilon: 11.8797
num_steps: 2350, train_loss: 1.5383, train_accuracy: 57.1359, val_loss: 1.5766, val_accuracy: 56.3610, test_loss: 1.5868, test_accuracy: 55.2291, epsilon: 12.0322
num_steps: 2400, train_loss: 1.5347, train_accuracy: 57.2162, val_loss: 1.5636, val_accuracy: 56.5690, test_loss: 1.5684, test_accuracy: 55.8175, epsilon: 12.1848
num_steps: 2450, train_loss: 1.5348, train_accuracy: 57.2558, val_loss: 1.5694, val_accuracy: 56.7066, test_loss: 1.5726, test_accuracy: 55.7496, epsilon: 12.3374
num_steps: 2500, train_loss: 1.5325, train_accuracy: 57.2734, val_loss: 1.5649, val_accuracy: 56.7502, test_loss: 1.5650, test_accuracy: 56.0274, epsilon: 12.4864
num_steps: 2550, train_loss: 1.5343, train_accuracy: 57.3394, val_loss: 1.5731, val_accuracy: 56.8643, test_loss: 1.5757, test_accuracy: 55.8772, epsilon: 12.6343
