=== DP-GCN: noise_mult=4.0, lr=3e-3 ===
Using device: cuda
Reading node features from datasets/ogbn_arxiv/raw/node-feat.csv.gz...
Node features loaded: (169343, 128)
Reading node labels...
Node labels loaded: (169343,)
Reading edges...
Edges loaded: 1166243
Reading splits...
Splits: train=90941, val=29799, test=48603
Computing disjoint edge filter...
Disjoint filter: 1166243 -> 464361 edges
Num training nodes: 90941
Num total nodes: 169343
Num edges: 532308
Feature dim: 128
Building subgraphs...
Pre-computing subgraph weights...
Subgraphs built.
Model parameters: 27040
Estimating clipping thresholds from 10000 samples...
Clipping thresholds: {'encoder.layers.0.weight': 3.1186107397079468, 'encoder.layers.0.bias': 1.2115269005298615, 'core_hops.0.update_fn.layers.0.weight': 1.796020120382309, 'core_hops.0.update_fn.layers.0.bias': 0.9065243452787399, 'decoder.layers.0.weight': 2.748708128929138, 'decoder.layers.0.bias': 0.9924480766057968}
Base sensitivity: 12.0
num_steps:   0, train_loss_after_init: 3.7012, train_accuracy_after_init: 3.7343, val_loss_after_init: 3.7886, val_accuracy_after_init: 2.6242, test_loss_after_init: 3.8280, test_accuracy_after_init: 2.4587, epsilon_after_init: 0.0000
num_steps: 1450, train_loss: 1.6212, train_accuracy: 55.5305, val_loss: 1.6393, val_accuracy: 55.4616, test_loss: 1.6524, test_accuracy: 54.4678, epsilon: 9.0600
num_steps: 1500, train_loss: 1.6165, train_accuracy: 55.6174, val_loss: 1.6412, val_accuracy: 55.4347, test_loss: 1.6543, test_accuracy: 54.4987, epsilon: 9.2404
num_steps: 1550, train_loss: 1.6132, train_accuracy: 55.7647, val_loss: 1.6371, val_accuracy: 55.7032, test_loss: 1.6488, test_accuracy: 54.5769, epsilon: 9.4177
num_steps: 1600, train_loss: 1.6078, train_accuracy: 55.9374, val_loss: 1.6286, val_accuracy: 55.8911, test_loss: 1.6362, test_accuracy: 54.9102, epsilon: 9.5934
num_steps: 1650, train_loss: 1.6069, train_accuracy: 55.8835, val_loss: 1.6262, val_accuracy: 55.7200, test_loss: 1.6370, test_accuracy: 54.7950, epsilon: 9.7675
num_steps: 1700, train_loss: 1.6073, train_accuracy: 55.9813, val_loss: 1.6273, val_accuracy: 55.9281, test_loss: 1.6306, test_accuracy: 55.1550, epsilon: 9.9386
num_steps: 1750, train_loss: 1.6028, train_accuracy: 56.0440, val_loss: 1.6229, val_accuracy: 55.8307, test_loss: 1.6254, test_accuracy: 55.0748, epsilon: 10.1097
num_steps: 1800, train_loss: 1.5991, train_accuracy: 56.1694, val_loss: 1.6198, val_accuracy: 55.9750, test_loss: 1.6186, test_accuracy: 55.2949, epsilon: 10.2773
num_steps: 1850, train_loss: 1.5947, train_accuracy: 56.2321, val_loss: 1.6259, val_accuracy: 55.8777, test_loss: 1.6323, test_accuracy: 54.8711, epsilon: 10.4437
num_steps: 1900, train_loss: 1.5938, train_accuracy: 56.3420, val_loss: 1.6190, val_accuracy: 56.0086, test_loss: 1.6194, test_accuracy: 55.2517, epsilon: 10.6102
